episode,reward,steps,win
1,-4.8,2,0
2,108.49999999999812,1000,0
3,103.2999999999984,1000,0
4,102.39999999999846,1000,0
5,107.99999999999815,1000,0
6,100.49999999999856,1000,0
7,106.49999999999822,1000,0
8,108.09999999999815,1000,0
9,-1.3999999999999995,3,0
10,-5.0,1,0
11,106.7999999999982,1000,0
12,106.89999999999822,1000,0
13,-5.0,1,0
14,107.79999999999816,1000,0
15,105.99999999999825,1000,0
16,1.2000000000000002,3,0
17,-4.4,4,0
18,105.29999999999829,1000,0
19,-4.8,2,0
20,2.5999999999999996,3,0
21,100.49999999999856,1000,0
22,102.09999999999847,1000,0
23,103.19999999999841,1000,0
24,-5.0,1,0
25,103.59999999999839,1000,0
26,-5.0,1,0
27,102.19999999999847,1000,0
28,102.79999999999843,1000,0
29,105.89999999999826,1000,0
30,102.39999999999846,1000,0
31,-5.0,1,0
32,-5.0,1,0
33,104.89999999999831,1000,0
34,-4.8,2,0
35,104.49999999999834,1000,0
36,100.49999999999856,1000,0
37,102.59999999999845,1000,0
38,104.49999999999834,1000,0
39,-2.3,2,0
40,1.5,2,0
41,104.79999999999832,1000,0
42,104.79999999999832,1000,0
43,-5.0,1,0
44,107.69999999999817,1000,0
45,104.89999999999831,1000,0
46,104.89999999999831,1000,0
47,105.79999999999826,1000,0
48,106.09999999999825,1000,0
49,102.89999999999843,1000,0
50,-4.4,4,0
51,106.29999999999824,1000,0
52,105.29999999999829,1000,0
53,1.2000000000000002,2,0
54,102.39999999999846,1000,0
55,107.0999999999982,1000,0
56,103.3999999999984,1000,0
57,2.5,5,0
58,1.3000000000000007,3,0
59,-5.0,1,0
60,-5.0,1,0
61,-4.8,2,0
62,-2.6999999999999997,3,0
63,104.49999999999834,1000,0
64,107.59999999999818,1000,0
65,100.49999999999856,1000,0
66,-1.8999999999999995,3,0
67,104.39999999999834,1000,0
68,106.7999999999982,1000,0
69,-4.6,3,0
70,-4.2,5,0
71,100.49999999999856,1000,0
72,103.89999999999837,1000,0
73,1.9000000000000004,4,0
74,-5.0,1,0
75,102.19999999999847,1000,0
76,-4.2,5,0
77,105.1999999999983,1000,0
78,-4.4,4,0
79,-2.0,2,0
80,106.69999999999821,1000,0
81,-4.8,2,0
82,102.69999999999844,1000,0
83,-5.0,1,0
84,1.2000000000000002,2,0
85,104.29999999999835,1000,0
86,106.19999999999824,1000,0
87,104.39999999999834,1000,0
88,108.69999999999811,1000,0
89,106.19999999999824,1000,0
90,105.39999999999829,1000,0
91,102.49999999999845,1000,0
92,-5.0,1,0
93,100.49999999999856,1000,0
94,102.69999999999844,1000,0
95,104.19999999999835,1000,0
96,107.79999999999816,1000,0
97,105.39999999999829,1000,0
98,-5.0,1,0
99,-2.1999999999999997,4,0
100,105.49999999999828,1000,0
